"Feature","Sum","dev","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3"
"PRE3",6.82952961895741,0.00655974815548255,0.929643474437965,0.792606422275945,0.624987178030737,0.407213927172457,0.119125326881799,-0.199228780318907,-0.371546674278539,-0.557548266992187,-0.967125199096432,-0.859155584674206,-0.394377990037368,0.606970794760863
"SBP1",4.00590102734904,0.00406706826237821,0,0.13330933550815,0.279853724581372,0.465481433059889,0.71497809670437,0.601186917533393,0.466280830730859,0.241795975608391,-0.149472016320844,-0.28769891339051,-0.359641306492079,-0.306202477419183
"MTD1",1.21735900092707,-0.00521903742214248,0,-0.000690846787114618,0.00704526160702112,0.0510325121400201,0.132465785646942,0.212468647855445,0.24856996676943,0.273277444742706,0.143747240674112,0.101756798784338,0.0463044959199371,0
"PAC10",1.24969719432132,-0.00961093179296941,0,0.0580622720583592,0.083929228623179,0.144617129070192,0.0943483845317811,0.175089239442627,0.23157082112962,0.175468015678222,0.0469293325894054,-0.0233120976913335,-0.014811540997986,0.201559132508614
"ERV25",3.52614073000983,0.00124593899682024,0.0207628294452408,0.0952726534718068,0.199849955304375,0.343393571409516,0.612789368998789,0.48248622679615,0.369389498603502,0.267829474576446,-0.276433094676017,-0.44365044525902,-0.414283611468971,0
"SPE2",5.18111205426334,-0.00068165887683319,0.694597907698428,0.634058305610267,0.537394073271412,0.389910783198091,0.159265371186757,-0.101445801923127,-0.252773692158271,-0.121349400423301,0.517696679862134,0.782250932808624,0.613968385750402,-0.376400720372523
"STH1",0.355365304005857,0.00662814886863601,0,0.0124894421772949,0.00971475247934772,0.0351262014216783,0.0279330884723696,-0.0170135394075666,-0.058708068298587,-0.0794279793558317,-0.0292473422181442,0,-0.0124835803899744,-0.0732213097850626
"SNL1",1.16446688112866,-0.00550843694052631,0.11013315977931,0.0285013614074612,-0.0496684134811406,-0.12120588485125,-0.15345946921259,-0.153149958214104,-0.140006757049171,-0.0618818331066339,-0.0415742659231565,0,0.0799560476018654,0.224929730501979
"YGR017W",4.40983989983168,0.0124797909648862,-0.378121136468762,-0.440624952667625,-0.488997500250875,-0.474480200939771,-0.406829645560102,-0.350403185372612,-0.280567235386564,-0.198635389984106,-0.055735820787707,0.12826587285624,0.396841068813142,0.810337890744177
"GRH1",3.73765600847069,0.00996526894949429,0.4925668072303,0.385122233374796,0.27233714545087,0.144800772656441,0.00176088386382965,-0.376778270139975,-0.333385805886771,0.565855676324068,0.349972761947939,0.0412543566167223,-0.292553632974181,-0.481267662004798
"DPH1",2.74825897364428,0.00366703046880038,0.141563838108608,0.194964797080208,0.207962523416434,0.187149179547225,0.0504389366953278,-0.0995597018711903,-0.291014545840036,-0.650487727542038,-0.441084070654848,-0.319299137100222,-0.164734515788143,0
"DIM1",5.80351413390211,0.00504704272453995,0.527606702643927,0.562748816107752,0.573770338588875,0.548685371095224,0.40932567198349,0.465418465453463,0.347562390082376,0.328687569595144,0.566801953824161,0.350120698567649,-0.122786155960046,-1
"RSN1",5.62210451827016,-0.00139468862727013,-0.43645536014834,-0.461305251156525,-0.486727064199963,-0.504248415327808,-0.5019974180611,-0.553770893414032,-0.562370759008895,-0.539606121892081,-0.197431741651914,0.0830176235566649,0.435242010359825,0.859931859493008
"RPL1B",4.20518040846211,-0.0106886197180358,0.592579799767924,0.446631156260028,0.237292227003123,-0.0136372250066094,-0.521388571099528,-0.469933353457826,-0.328702856379589,-0.353981902752341,0.116127497925201,0.146022466463965,-0.111420083121386,-0.86746326922459
"NIC96",7.87254909747808,-0.000425366951762994,0.902776627039535,0.904597680922542,0.834685226205966,0.722892003081148,0.430346115787198,0.118600807060322,-0.108865746375136,-0.565075202657488,-0.794919823931094,-0.975327827703656,-0.949299927906306,-0.565162108807688
"ATP2",1.78751335706751,-0.00509398112572619,-0.09674593231991,-0.103403771218356,-0.0654537654075716,0.00196216539088201,0.228530867431095,0.2907094144995,0.263718033895165,0.236180286030545,-0.0877586004294991,-0.158792412054468,-0.120426819909219,0.133831288481297
